"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"279","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18385/2025-2026/213342","GIRIDIH(Deputy Commissioner Giridh_IDA)","Dr. Sarfraz Ahmad (2024-30) (2024-2030)","Elected MP","19-Jun-2026","Executive engineer","Payment In-Progress","498446"
"280","Uttar Pradesh","Construction of toilet blocks","WS/MP887/2026-2027/151293","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","20-Aug-2026","S K Enterprises","Payment In-Progress","740018"
"281","Uttar Pradesh","Construction of buildings for community cultural activities","WS/MP195/2025-2026/158468","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","10-Mar-2026","Mohd Arif Khan","Payment In-Progress","807185"
"282","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229592","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"283","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229593","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"284","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229594","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"285","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229595","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"286","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229602","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"287","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP180/2025-2026/229603","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","01-Aug-2026","RUDRA INFRA","Payment In-Progress","948129"
"288","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18431/2025-2026/249779","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","31-Aug-2026","CC Const of road at Zubeen Garg path","Payment In-Progress","800000"
"289","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP148/2025-2026/234961","GANGANAGAR(Zilla GANGANAGAR)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","18-Aug-2026","J AND D CONTRACTORS","Payment In-Progress","74159"
"290","Rajasthan","Construction of community centers and community halls","WS/MP145/2025-2026/230421","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","19-Aug-2026","Baluram Kumawat","Payment In-Progress","12250"
"291","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/260814","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","31-Aug-2026","DHOLIYA GROUP GRAM PANCHAYAT","Payment In-Progress","450000"
"292","Tamil Nadu","Purchase of sports equipment","WS/MP162/2026-2027/283158","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","31-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","467000"
"293","Tamil Nadu","Purchase of sports equipment","WS/MP162/2026-2027/283157","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","31-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","467000"
"294","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/184913","Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","03-Apr-2026","SHRI SHYAM TRADERS COMPANY","Payment In-Progress","353450"
"295","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18431/2025-2026/249778","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","31-Aug-2026","Const of road cum guard wall with RCC Culvert at Bank Colony","Payment In-Progress","800000"
"296","Bihar","Construction of buildings for community cultural activities","WS/MP18407/2025-2026/232215","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","02-Sep-2026","NITU DEVI","Payment In-Progress","1487801"
"297","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244425","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","25-Feb-2026","RINKU AND COMPANY","Payment In-Progress","29500"
"298","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/227517","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","21-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","144000"
"299","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169626","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","29-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"300","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169617","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","29-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"301","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169615","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","29-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"302","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169594","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","30-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"303","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169534","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","31-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"304","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169539","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","26-Jul-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"305","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169620","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","03-Aug-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"306","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP838/2025-2026/169613","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","03-Aug-2026","BLUESKART ECOMMERCE PRIVATE LIMITED","Payment In-Progress","125657"
"307","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-Aug-2026","MAMTA RANI","Payment In-Progress","79200"
"308","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-Aug-2026","MAMTA RANI","Payment In-Progress","20000"
"309","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-Aug-2026","MS SHUKLA TRADERS","Payment In-Progress","11682"
"310","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-Aug-2026","MS SHUKLA TRADERS","Payment In-Progress","35931"
"311","Punjab","Construction of community centers and community halls","WS/MP843/2025-2026/239579","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","28-Aug-2026","MS SHUKLA TRADERS","Payment In-Progress","26632"
"312","Odisha","Construction of buildings for community cultural activities","WS/MP134/2024-2025/155284","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","28-Aug-2026","SANJAY KUAMR BARIKE","Payment In-Progress","334091"
"313","Punjab","Construction of bus-sheds or bus-stops","WS/MP235/2026-2027/277163","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","31-Aug-2026","Baba BKO","Payment In-Progress","54880"
"314","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP186/2025-2026/219128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","10-Aug-2026","SAMRIDDHI ENTERPRISES","Payment In-Progress","253615"
"315","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18334/2025-2026/205213","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","24-Jul-2026","Harinatha Reddy Nagireddy","Payment In-Progress","588424"
"316","Himachal Pradesh","Purchase of smart boards, visual display units and projectors","WS/MP078/2026-2027/287239","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Aug-2026","HPSEDC LTD","Payment In-Progress","492655"
"317","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2026-2027/282470","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Sep-2026","Assitant Engineer  Dev ZP Sub Division Bijhari","Payment In-Progress","300000"
"318","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP204/2025-2026/240524","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","31-Aug-2026","Lokesh Prasade","Payment In-Progress","98412"
"319","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP204/2025-2026/240535","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","01-Sep-2026","Lokesh Prasade","Payment In-Progress","305552"
"320","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/181053","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Apr-2026","PARDHAN CONSTRUCTION","Payment In-Progress","995065"
"321","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/247312","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","11-Jul-2026","BLOCK DEVELOPMENT OFFICER","Payment In-Progress","147948"
"322","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP189/2026-2027/224034","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","06-Aug-2026","BLOCK DEVELOPMENT OFFICER","Payment In-Progress","6981"
"323","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18298/2025-2026/221974","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","27-Aug-2026","NARPAT RAM","Payment In-Progress","446648"
"324","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2024-2025/171395","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Aug-2026","Sohan Lal Mehta","Payment In-Progress","907831"
"325","Uttar Pradesh","Installing hand pumps","WS/MP183/2025-2026/258540","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","24-Aug-2026","DINESH SHANKAR TIWARI","Payment In-Progress","115943"
"326","West Bengal","Construction of rooms and halls in school and colleges","WS/MP18383/2025-2026/177012","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","18-Aug-2026","K B CONSTRUCTION","Payment In-Progress","569850"
"327","Karnataka","Street lights","WS/MP086/2026-2027/169460","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Jul-2026","RAGHANJANEYA ENTERPRISES","Payment In-Progress","299410"
"328","Tripura","Setting up of kitchen and pantries","WS/MP18412/2025-2026/213923","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","23-Jul-2026","BABAN CHOUDHURY","Payment In-Progress","1094786"
"329","Tripura","Setting up of kitchen and pantries","WS/MP18412/2025-2026/213923","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","29-May-2026","BABAN CHOUDHURY","Payment In-Progress","1094786"
"330","Uttar Pradesh","Street lights","WS/MP18302/2026-2027/232826","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","01-Jul-2026","SHYAMPYARI","Payment In-Progress","116997"
"331","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Guru Nanak Sales Corporation","Payment In-Progress","49000"
"332","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Guru Nanak Sales Corporation","Payment In-Progress","49000"
"333","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Guru Nanak Sales Corporation","Payment In-Progress","49000"
"334","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Guru Nanak Sales Corporation","Payment In-Progress","36750"
"335","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Guru Nanak Sales Corporation","Payment In-Progress","37411"
"336","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Shree Guru Nanak Cement Store","Payment In-Progress","17550"
"337","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/290367","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","02-Sep-2026","Shree Guru Nanak Cement Store","Payment In-Progress","44775"
"338","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2026-2027/301954","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","28-Aug-2026","Baldev Singh","Payment In-Progress","151500"
"339","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205177","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","05-Aug-2026","PRESIDENT VILLAGE LEVEL COMMITTEE ANANTHAIAHGARIPALLI GP","Payment In-Progress","495171"
"340","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205179","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","05-Aug-2026","PRESIDENT VILLAGE LEVEL COMMITTEE ANANTHAIAHGARIPALLI GP","Payment In-Progress","499929"
"341","Uttar Pradesh","Street lights","WS/MP186/2024-2025/141373","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","18-May-2026","MS SUKHADA CONSTRUCTIONS","Payment In-Progress","138000"
"342","Odisha","Construction of community centers and community halls","WS/MP131/2025-2026/201780","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","09-Aug-2026","SANJAY SWAIN","Payment In-Progress","600000"
"343","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP071/2025-2026/182286","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","03-Sep-2026","CHANGMAI ENTERPRISE","Payment In-Progress","115367"
"344","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/205230","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","24-Jul-2026","PRESIDENT VLC GURAPPAGARIPALLI GP VEERABALLI","Payment In-Progress","499997"
"345","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2025-2026/254819","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","17-Aug-2026","RONAK CONSTRUCTION AND INTERPRISES","Payment In-Progress","949952"
"346","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18431/2026-2027/249777","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","31-Aug-2026","Const of road at bylane no 5 Victoria Path at Dhalboma","Payment In-Progress","800000"
"347","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP202/2026-2027/258247","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","02-Sep-2026","JP Acadamy Barwa kalan","Payment In-Progress","158750"
"348","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP850/2026-2027/276620","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","13-Aug-2026","M A CONSTRUCTION CO","Payment In-Progress","952135"
"349","Jammu And Kashmir","Construction of water tanks","WS/MP839/2025-2026/258707","RAJOURI(Deputy Commissioner Rajouri_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","27-Jun-2026","TANVEER AHMED","Payment In-Progress","127000"
"350","Odisha","Construction of community centers and community halls","WS/MP138/2024-2025/157422","PURI(DISTRICT COLLECTOR PURI_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","31-Aug-2026","SATYAPRIYA JENA","Payment In-Progress","500000"
"351","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202863","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"352","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202870","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"353","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202869","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"354","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202868","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"355","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202867","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"356","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202883","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"357","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202882","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"358","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202881","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"359","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202880","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"360","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202879","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"361","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202878","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"362","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202900","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"363","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202901","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"364","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202899","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"365","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202865","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"366","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202877","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"367","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202876","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"368","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202873","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"369","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202871","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","23-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
"370","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/202898","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","24-Jul-2026","JAI AMBAY SUPPLIERS","Payment In-Progress","11523"
