"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10419","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144583","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10420","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144574","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10421","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144581","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10422","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144624","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10423","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144625","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10424","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144626","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10425","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144627","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10426","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144628","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10427","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144629","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
"10428","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144631","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","24-Apr-2026","SHRI SAI ENGINEERING WORKS","Payment Success","216351"
